ID HP MP STR INT CST
00000 71828 18284 59045 23536 02874
00001 71352 66249 77572 47093 69995
00002 95749 66967 62772 40766 30353
00003 54759 45713 82178 52516 64274
00004 27466 39193 20030 59921 81741
00005 35966 29043 57290 03342 95260
00006 59563 07381 32328 62794 34907
00007 63233 82988 07531 95251 01901
00008 15738 34187 93070 21540 89149
00009 93488 41675 09244 76146 06680
00010 82264 80016 84774 11853 74234
00011 54424 37107 53907 77449 92069
00012 55170 27618 38606 26133 13845
00013 83000 75204 49338 26560 29760
00014 67371 13200 70932 87091 27443
00015 74704 72306 96977 20931 01416
00016 92836 81902 55151 08657 46377
00017 21112 52389 78442 50569 53696
00018 77078 54499 69967 94686 44549
00019 05987 93163 68892 30098 79312
00020 77361 78215 42499 92295 76351
00021 48220 82698 95193 66803 31825
00022 28869 39849 64651 05820 93923
00023 98294 88793 32036 25094 43117
00024 30123 81970 68416 14039 70198
00025 37679 32068 32823 76464 80429
00026 53118 02328 78250 98194 55815
00027 30175 67173 61332 06981 12509
00028 96181 88159 30416 90351 59888
00029 85193 45807 27386 67385 89422
00030 87922 84998 92086 80582 57492
00031 79610 48419 84443 63463 24496
00032 84875 60233 62482 70419 78623
00033 20900 21609 90235 30436 99418
00034 49146 31409 34317 38143 64054
00035 62531 52096 18369 08887 07016
00036 76839 64243 78140 59271 45635
00037 49061 30310 72085 10383 75051
00038 01157 47704 17189 86106 87396
00039 96552 12671 54688 95703 50354
00040 02123 40784 98193 34321 06817
00041 01210 05627 88023 51930 33224
00042 74501 58539 04730 41995 77770
00043 93503 66041 69973 29725 08868
00044 76966 40355 57071 62268 44716
00045 25607 98826 51787 13419 51246
00046 65201 03059 21236 67719 43252
00047 78675 39855 89448 96970 96409
00048 75459 18569 56380 23637 01621
00049 12047 74272 28364 89613 42251
00050 64450 78182 44235 29486 36372
00051 14174 02388 93441 24796 35743
00052 70263 75529 44483 37998 01612
00053 54922 78509 25778 25620 92622
00054 64832 62779 33386 56648 16277
00055 25164 01910 59004 91644 99828
00056 93150 56604 72580 27786 31864
00057 15519 56532 44258 69829 46959
00058 30801 91529 87211 72556 34754
00059 63964 47910 14590 40905 86298
00060 49679 12874 06870 50489 58586
00061 71747 98546 67757 57320 56812
00062 88459 20541 33405 39220 00113
00063 78630 09455 60688 16674 00169
00064 84205 58040 33637 95376 45203
00065 04024 32256 61352 78369 51177
00066 88386 38744 39662 53224 98506
00067 54995 88623 42818 99707 73327
00068 61717 83928 03494 65014 34558
00069 89707 19425 86398 77275 47109
00070 62953 74152 11151 36835 06275
00071 26023 26484 72870 39207 64310
00072 05958 41166 12054 52970 30236
00073 47254 92966 69381 15137 32275
00074 36450 98889 03136 02057 24817
00075 65851 18063 03644 28123 14965
00076 50704 75102 54465 01172 72115
00077 55194 86685 08003 68532 28183
00078 15219 60037 35625 27944 95158
00079 28418 82947 87610 85263 98139
00080 55990 06737 64829 22443 75287
00081 18462 45780 36192 98197 13991
00082 47564 48826 26039 03381 44182
00083 32625 15097 48279 87779 96437
00084 30899 70388 86778 22713 83605
00085 77297 88241 25611 90717 66394
00086 65070 63304 52795 46618 55096
00087 66618 56647 09711 34447 40160
00088 70462 62156 80717 48187 78443
00089 71436 98821 85596 70959 10259
00090 68620 02353 71858 87485 69652
00091 20005 03117 34392 07321 13908
00092 03293 63447 97273 55955 27734
00093 90717 83793 42163 70120 50054
00094 51326 38354 40001 86323 99149
00095 07054 79778 05669 78533 58048
00096 96690 62951 19432 47309 95876
00097 55236 81285 90413 83241 16072
00098 26029 98330 53537 08761 38939
00099 63917 79574 54016 13722 36187
00100 89365 26053 81558 41587 18692
00101 55386 06164 77983 40254 35128
00102 43961 29460 35291 33259 42794
00103 90433 72990 85731 58029 09586
00104 31382 68329 14771 16396 33709
00105 24003 16894 58636 06064 58459
00106 25126 99465 57248 39186 56420
00107 97526 85082 30754 42545 99376
00108 91704 19777 80085 36273 09417
00109 10163 43490 76964 23722 29435
00110 23661 25572 50881 47792 23151
00111 97477 80605 69672 53801 71807
00112 76360 34624 59278 77846 58506
00113 56050 78084 42115 29697 52189
00114 08740 19660 90665 18035 16501
00115 79250 46195 01366 58543 66327
00116 12549 63990 85491 44200 01457
00117 47608 19302 21206 60243 30096
00118 41270 48943 90397 17719 51806
00119 99086 99860 66365 83232 27870
00120 93765 02260 14929 10115 17177
00121 63594 46020 23249 30028 04018
00122 67723 91028 80978 66605 65118
00123 32600 43688 50881 71572 38669
00124 84224 22010 24950 55188 16948
00125 03221 00251 54264 94639 81287
00126 36776 58927 68816 35983 12477
00127 88652 01411 74110 91360 11649
00128 95076 62907 79436 46005 85194
00129 19985 60162 64790 76153 21038
00130 72755 71269 92518 27568 79893
00131 02761 76114 61625 49356 49590
00132 37980 45838 18232 33686 12016
00133 24373 65698 46703 78585 33052
00134 75833 33793 99075 21660 69238
00135 05336 98879 56513 72855 93883
00136 49989 47074 16181 55012 53970
00137 64648 17194 67083 48197 21448
00138 88987 90676 50379 59036 69672
00139 49499 25452 79033 72963 61626
00140 58976 03949 85767 41397 35944
00141 10237 44329 70935 54779 82629
00142 61459 14429 36451 42861 71585
00143 87339 74679 18975 71211 95618
00144 73857 83644 75844 84235 55581
00145 05002 56114 92391 51889 30994
00146 63428 41393 60803 83091 66281
00147 88115 03715 28496 70597 41625
00148 62823 60921 68075 15017 77253
00149 87402 56425 34708 79089 13729
00150 17228 28611 51591 56837 25241
00151 63077 22544 06337 87593 10598
00152 26760 94420 32619 24285 31701
00153 87817 72960 23541 30606 72136
00154 04600 03896 61093 64709 51414
00155 17185 77701 41806 06443 63681
00156 54644 40053 31608 77831 43174
00157 44081 19494 22975 59931 40118
00158 88683 31483 28027 06553 83300
00159 46932 90115 74414 75631 39997
00160 22170 38046 17092 89457 90962
00161 71662 26074 07187 49975 35921
00162 27560 84414 73782 33032 70330
00163 16823 71936 48002 17328 57349
00164 35947 56433 41299 43024 85023
00165 57322 14597 84328 26414 21684
00166 87872 16733 67010 61509 42434
00167 56984 40187 33128 10107 94512
00168 72237 37886 12605 81656 68053
00169 71439 61278 88732 52737 38903
00170 92890 50686 53241 38062 79602
00171 59303 87727 69778 37928 68409
00172 32536 58807 33988 45721 87460
00173 21005 31148 33513 23850 04782
00174 71693 76218 00490 47955 97959
00175 29059 16554 70505 77751 43081
00176 75112 69898 51884 08718 56402
00177 60353 05583 73783 24229 24185
00178 62564 42550 22672 15598 02740
00179 12617 97192 80471 39600 68916
00180 38286 65277 00975 27670 69777
00181 03643 92602 24372 84184 08832
00182 51848 77047 26384 40379 53016
00183 69054 65937 46161 93238 40363
00184 89313 13643 27137 68884 10268
00185 11219 89127 52230 56256 75625
00186 47017 25086 34976 53672 88605
00187 96675 27408 68627 40791 28565
00188 76996 31378 97530 34660 61666
00189 98042 18267 72456 05306 60773
00190 89962 42183 40859 88207 18646
00191 82623 21508 02882 86359 74683
00192 96543 58856 68550 37731 31296
00193 58797 58105 01214 91620 76567
00194 69950 65971 53447 63470 32085
00195 32156 03674 82860 83786 56803
00196 07306 26576 33469 77429 56346
00197 43716 70939 71930 60876 96349
00198 53288 46833 61303 88294 31040
00199 80029 68738 69117 06666 61468
00200 00015 12114 34422 56023 87447
00201 43252 50769 38707 77751 93299
00202 94213 72772 11258 84360 87158
00203 34835 62696 16619 80572 52661
00204 22067 97540 62106 20806 49882
00205 91845 43953 01529 98209 25030
00206 05498 25704 33905 53570 16865
00207 31205 26495 61485 72492 57386
00208 20691 74036 95213 53373 25316
00209 66345 46658 85972 86659 45113
00210 64413 70331 39367 21185 69553
00211 95210 84584 07244 32383 55860
00212 63106 80696 49248 51232 63269
00213 95146 03596 03729 72531 98368
00214 42336 39046 32136 71011 61928
00215 21711 15028 28016 04488 05880
00216 23820 31981 49309 63695 96735
00217 83274 20249 88245 68494 12738
00218 60566 49135 25267 06046 23445
00219 05492 27581 15170 93149 21879
00220 59271 80019 40968 86698 68370
00221 37302 20047 53143 38181 09270
00222 80300 17205 93553 05207 00706
00223 07223 39994 63990 57131 15870
00224 99635 77735 90271 96285 06114
00225 65148 37526 20956 53467 13290
00226 02599 43976 63114 54590 26858
00227 98979 11583 70934 19370 44115
00228 51219 20117 16488 05669 45938
00229 13118 38437 65620 62784 63104
00230 90346 29395 00294 58341 16482
00231 41149 69758 32601 18007 31699
00232 43739 35069 66295 71241 02732
00233 39138 74175 49230 71862 45454
00234 32220 39552 73529 52402 45903
00235 80574 45028 92246 88628 53365
00236 42213 81572 21311 63288 11205
00237 21464 89805 18009 20247 19391
00238 71055 53901 13943 31668 15158
00239 28843 68760 69611 02505 17100
00240 73927 62385 55338 62725 53538
00241 83096 06716 44662 37092 26468
00242 09671 25406 18695 02143 17621
00243 16681 40097 59528 14939 07222
00244 60111 26811 53108 38731 76173
00245 23235 26360 58381 73151 03459
00246 57365 38223 53499 29358 22836
00247 85100 78108 84634 34998 35184
00248 04451 70427 01893 81994 24341
00249 00905 75376 25776 75711 18090
00250 08816 41833 19201 96262 34162
00251 88166 52137 47173 25477 72778
00252 34887 74366 51882 87521 56685
00253 71950 63719 36565 39038 94493
00254 66421 76400 31215 27870 22236
00255 64636 35755 50356 55769 48886
00256 54950 02708 53923 61710 55021
00257 31147 41374 41061 34445 54419
00258 21013 36172 99628 56948 99193
00259 36918 47294 78580 72915 60885
00260 10396 78195 94298 33186 48075
00261 60836 79551 49663 64489 65592
00262 94818 78517 84038 77332 62470
00263 51945 05041 98477 42014 18394
00264 77312 02815 88684 57072 90544
00265 05751 06012 85258 05659 47030
00266 46836 34459 26525 52137 00806
00267 87520 09593 45360 73162 26118
00268 72817 39280 74623 09468 53678
00269 23106 09792 15993 60019 94623
00270 79934 34210 68781 34973 46959
00271 24646 97525 06246 95861 69091
00272 78573 97659 51993 92993 99556
00273 75427 14654 91045 68607 02099
00274 01260 68187 04984 17807 91739
00275 24071 94599 63230 60254 70790
00276 17745 27513 18680 99822 84730
00277 86076 65368 66855 51646 77029
00278 11336 82756 31072 23346 72611
00279 37054 90795 36583 45386 37196
00280 23585 63126 18387 15677 41187
00281 38527 72292 25947 43373 78569
00282 55384 56246 80101 39057 27871
00283 01651 29666 36764 45187 24656
00284 53730 40244 36841 40814 48873
00285 29578 47348 49000 30194 77888
00286 02046 03246 60842 87535 18483
00287 64959 19508 28883 23206 52212
00288 81041 90448 04724 79492 91342
00289 28495 19700 22601 31043 00624
00290 10717 97150 27934 33263 40799
00291 59605 31446 05323 04885 28972
00292 91765 98760 16667 81193 79323
00293 72453 85720 96075 82277 17848
00294 33616 13582 61289 62261 18129
00295 45592 74627 67137 79448 75867
00296 53657 54486 14076 11931 12595
00297 85126 55759 73457 30153 33642
00298 63076 79854 43385 76171 53334
00299 62325 27057 20053 03988 28949
00300 90342 59566 23297 57824 88735
00301 02925 91668 25894 45689 46559
00302 92658 45476 26945 28780 51650
00303 17206 74785 41788 79822 76806
00304 53665 06419 10973 43452 88783
00305 38621 72615 62695 82654 47820
00306 56729 87756 42632 53215 94294
00307 41803 99432 17000 09054 26507
00308 63095 58846 58951 71709 14760
00309 74371 36893 31946 90909 81904
00310 50129 03070 99566 22662 03031
00311 82649 36573 36984 19555 77696
00312 37876 24918 85286 56866 07600
00313 56602 56054 45711 33728 68402
00314 05574 41603 08370 52312 24258
00315 72234 38854 12317 94813 88550
00316 07568 93811 24935 38631 86352
00317 87083 79984 56926 19981 79452
00318 33640 87429 59118 07474 53419
00319 55142 03517 26184 20084 55091
00320 70845 68236 82008 97739 45584
00321 26792 14273 47756 08796 44279
00322 20270 83121 50156 40634 13416
00323 17166 44806 98154 83764 49157
00324 39001 21217 04154 78725 91998
00325 94382 53649 50514 77137 93991
00326 47205 21952 90793 96137 62110
00327 72384 94290 61635 76045 96231
00328 25350 60685 37651 42311 53496
00329 65683 71511 66042 20796 39446
00330 66211 63255 15772 90709 78473
00331 15627 82775 98788 13649 19512
00332 57483 32879 37715 71459 09106
00333 48416 42678 30994 97236 74420
00334 17586 22694 02159 40792 44805
00335 41255 36043 13179 92696 73915
00336 75424 19296 60731 23937 63542
00337 13923 06178 76753 95871 14361
00338 04089 40996 60894 71418 34069
00339 83629 93675 36262 15452 47298
00340 46421 37528 91079 88438 13060
00341 95552 62272 08375 18629 83706
00342 67872 24430 19579 37937 86072
00343 10725 42772 89071 73285 48743
00344 74355 78196 65117 16618 33088
00345 11291 20245 20404 86822 00072
00346 34403 50254 48202 83425 41878
00347 84653 60259 15064 45271 65770
00348 00445 21097 73558 58976 22655
00349 48494 16217 14989 53238 34216
00350 00114 06295 07184 90427 78925
00351 85527 43035 22139 68356 79018
00352 07640 60421 38307 30877 44601
00353 70842 68827 22611 77180 84266
00354 43336 51780 00217 19034 49234
00355 26426 62922 61456 00433 73838
00356 68335 55534 34530 04264 81847
00357 39892 15627 08609 56506 29340
00358 40526 49432 44261 44566 59212
00359 91225 64889 35696 55009 15430
00360 64261 34252 66847 25949 14314
00361 23939 88454 32486 32746 18428
00362 46655 98533 23122 10466 25989
00363 01417 12103 44608 42716 16619
00364 00125 71958 70793 21756 96985
00365 44013 39762 20967 49454 18540
00366 71184 46433 94699 01626 98351
00367 60784 89245 14058 94094 63952
00368 67807 35457 97003 07051 16368
00369 25194 87701 18976 40028 27648
00370 41416 05872 06184 18529 71891
00371 54019 68825 32893 09149 66534
00372 57535 71427 31848 20163 84644
00373 83249 90378 86069 00807 27093
00374 27673 12758 19665 63941 14896
00375 17168 32980 45513 97295 06687
00376 60474 09154 20428 42999 35410
00377 25829 11350 22416 90769 43166
00378 85742 42522 50902 69390 34814
